product_code,name,img_link,price,proficiency_level,power_consum(W),install_type,door_cnt,total_cap(L),refrige_cap(L),freeze_cap(L),width(mm),height(mm),depth(mm),weight(kg),color,door_type,cool_type,smart_diag,ice_maker,manual_link
REF000,LG 트롬 오브제컬렉션 워시타워 + LG 디오스 AI 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/wash-tower/md10694827/gallery/medium01.jpg,6280000,2,3500.0,프리스탠딩,2,832,524,308,700,1890,830,161,네이처 베이지 / 네이처 그린,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=aYgXp4bXIhCWq82n4TlDPw
REF001,LG 트롬 오브제컬렉션 워시타워 + LG 디오스 AI 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/wash-tower/md10694828/gallery/medium01.jpg,5780000,2,3050.0,프리스탠딩,2,832,524,308,700,1890,830,162,릴리 화이트 / 릴리 화이트,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=MV9VQaiEhpTDC2gAl48w
REF002,LG 냉동고,https://www.lge.co.kr/kr/images/refrigerators/md10059826/gallery/medium-interior01.jpg,700000,,,,,200,,,600,1383,629,57,퓨어,,직냉식,0,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=TWci44kPqCpQvo02ORjA
REF003,LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09845828/gallery/medium-interior01.jpg,260000,4,10.2,,,43,43,,443,501,450,16,퓨어,,직냉식,0,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=3Ppb5rFuU8tyT5Cj1nLdoQ
REF004,LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09845826/gallery/medium-interior01.jpg,320000,4,19.4,,,90,90,,463,820,482,22,퓨어,,직냉식,0,0,
REF005,LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10318830/gallery/medium-interior01.jpg,400000,4,36.1,일반 냉장고,2,121,94,27,475,1170,487,28,퓨어,메탈,직냉식,0,1,
REF006,LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09072900/gallery/medium-interior01.jpg,480000,3,29.8,,,189,143,46,555,1400,585,39,화이트,,멀티냉각방식,0,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=ImNoab7btZxfOHlZ1rfhvw
REF007,LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10680828/gallery/medium-interior01.jpg,593000,2,28.9,일반 냉장고,2,241,185,56,555,1573,637,46,화이트,메탈,멀티냉각방식,0,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=dDKdobXaep3sEB3dUC68Q
REF008,LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09326828/gallery/medium-interior01.jpg,730000,1,27.8,,,317,238,79,600,1640,710,57,화이트,네이처 (메탈),멀티냉각방식,0,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=8DX3wkvc1dzwuKQ2ZJHdA
REF009,LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10647828/gallery/medium-interior01.jpg,770000,1,27.8,일반 냉장고,2,317,238,79,600,1640,710,54,화이트,메탈,멀티냉각방식,0,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=8DX3wkvc1dzwuKQ2ZJHdA
REF010,LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09325832/gallery/medium-interior01.jpg,780000,4,30.0,,,335,256,79,600,1720,710,60,퓨어,네이처 (메탈),멀티냉각방식,1,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=8DX3wkvc1dzwuKQ2ZJHdA
REF011,LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09091859/gallery/medium-interior01.jpg,880000,3,37.3,,,507,376,131,780,1800,730,78,샤인,,멀티냉각방식,0,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=6kPLmtrN5Bqc2NNcFLjMg
REF012,LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09091834/gallery/medium-interior01.jpg,950000,3,37.3,,,507,376,131,780,1800,730,78,샤인,,멀티냉각방식,0,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=ZQlC41XMuNSU1PzubeZb3g
REF013,LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md10580828/gallery/medium-interior01.jpg,550000,3,34.9,일반 냉장고,2,215,161,54,555,1445,637,43,오브제컬렉션 크림 화이트,메탈,멀티냉각방식,0,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=dDKdobXaep3sEB3dUC68Q
REF014,LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md10685826/gallery/medium-interior01.jpg,650000,2,32.5,일반 냉장고,2,264,208,56,555,1680,637,48,오브제컬렉션 베이지,메탈,멀티냉각방식,0,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=dDKdobXaep3sEB3dUC68Q
REF015,LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md09323827/gallery/medium-interior01.jpg,850000,1,27.8,,,317,238,79,600,1640,710,57,오브제컬렉션 베이지,네이처 (메탈),멀티냉각방식,0,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=8DX3wkvc1dzwuKQ2ZJHdA
REF016,LG 디오스 오브제컬렉션 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10647826/gallery/medium-interior01.jpg,880000,1,27.8,일반 냉장고,2,317,238,79,600,1640,710,57,오브제컬렉션 크림 화이트,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=8DX3wkvc1dzwuKQ2ZJHdA
REF017,LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md09325827/gallery/medium-interior01.jpg,880000,4,30.0,,,335,256,79,600,1720,710,60,오브제컬렉션 베이지,네이처 (메탈),멀티냉각방식,0,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=8DX3wkvc1dzwuKQ2ZJHdA
REF018,LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md10301830/gallery/medium-interior01.jpg,830000,3,29.0,일반 냉장고,2,461,361,,700,1845,725,70,오브제컬렉션 크림 그레이,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Pq7PBsmQDhvbDhq60A8Og
REF019,LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md09811829/gallery/medium-interior01.jpg,980000,3,37.3,일반 냉장고,2,507,376,,780,1800,730,78,네이처 베이지,메탈,멀티냉각방식,1,0,
REF020,LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md09811828/gallery/medium-interior01.jpg,1050000,3,37.3,일반 냉장고,2,507,376,,780,1800,730,78,오브제컬렉션 베이지,메탈,,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=ZQlC41XMuNSU1PzubeZb3g
REF021,LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md10590828/gallery/medium-interior01.jpg,1240000,3,39.0,일반 냉장고,2,612,428,184,831,1860,741,85,프라임 실버,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=OQW3etYEGZEvwhSddY36qw
REF022,LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md10366862/gallery/medium-interior01.jpg,1290000,2,37.0,일반 냉장고,2,612,428,184,831,1860,741,85,프라임 실버,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=VCfWUjE8d21cjFQgrTXg
REF023,LG 프렌치 디오스,https://www.lge.co.kr/kr/images/refrigerators/md10705832/gallery/medium-interior01.jpg,,4,70.0,프리스탠딩,3,742,504,238,908,1785,802,118,스테인리스,스테인리스,멀티냉각방식,1,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=y38memMspvCAEkeM6rj3tw
REF024,LG 프렌치 디오스,https://www.lge.co.kr/kr/images/refrigerators/md10340829/gallery/medium-interior01.jpg,,4,70.0,프리스탠딩,3,742,504,238,908,1785,802,125,스테인리스,스테인리스,멀티냉각방식,1,1,
REF025,LG 프렌치 디오스,https://www.lge.co.kr/kr/images/refrigerators/md10340828/gallery/medium-interior01.jpg,,4,77.0,프리스탠딩,3,716,478,238,908,1785,802,126,스테인리스,스테인리스,멀티냉각방식,1,1,
REF026,LG SIGNATURE 상냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09066826/gallery/medium-interior01.jpg,,1,43.7,,,905,570,335,912,1784,929,228,샤이니 유니버스,스테인리스,,1,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=NVyq4RZJZQjhLxSgEKNPg
REF027,[26년형·1대 단독 설치용] 오브제컬렉션 Fit & Max 냉장고 설치키트,https://www.lge.co.kr/kr/images/refrigerators/md10808826/gallery/medium01.jpg,111000,,,페어설치키트,,,,,,,,0,,,,0,0,
REF028,[26년형 포함 2대 연결 설치용] 오브제컬렉션 Fit & Max 냉장고 설치키트,https://www.lge.co.kr/kr/images/refrigerators/md10808827/gallery/medium01.jpg,111000,,,페어설치키트,,,,,,,,3,,,,0,0,
REF029,LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10780843/gallery/medium-interior01.jpg,4835000,1,31.6,Fit & Max,4,635,382,253,914,1860,709,140,오브제컬렉션 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=NYAphZ9a82JCSLvQ7MY4Zw
REF030,LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10780840/gallery/medium-interior01.jpg,4995000,1,31.6,Fit & Max,4,635,382,253,914,1860,709,142,오브제컬렉션 베이지,글라스,멀티냉각방식,1,1,
REF031,LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10780841/gallery/medium-interior01.jpg,5217000,1,31.6,Fit & Max,4,635,382,253,914,1860,709,137,럭스 실버,스테인리스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=NYAphZ9a82JCSLvQ7MY4Zw
REF032,LG 디오스 AI 오브제컬렉션 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10635826/gallery/medium-interior01.jpg,3100000,1,43.7,프리스탠딩,4,870,503,367,914,1860,918,155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
REF033,LG 디오스 오브제컬렉션 베이직 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10411849/gallery/medium-interior01.jpg,3164000,2,56.8,프리스탠딩,4,870,503,367,914,1860,918,138,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
REF034,LG 디오스 AI 오브제컬렉션 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10634840/gallery/medium-interior01.jpg,3520000,1,43.7,프리스탠딩,4,870,503,367,914,1860,918,155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
REF035,LG 디오스 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10411847/gallery/medium-interior01.jpg,3608000,1,43.7,프리스탠딩,4,870,503,367,914,1860,918,156,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
REF036,LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10411835/gallery/medium-interior01.jpg,3941000,1,43.3,프리스탠딩,4,860,498,362,914,1860,918,161,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=j2dlBOwBTpkYaNKbPEeCA
REF037,LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10411833/gallery/medium-interior01.jpg,4052000,2,56.3,프리스탠딩,4,860,498,362,914,1860,918,155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=j2dlBOwBTpkYaNKbPEeCA
REF038,LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10449865/gallery/medium-interior01.jpg,,2,56.3,프리스탠딩,4,860,498,362,914,1860,918,155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=j2dlBOwBTpkYaNKbPEeCA
REF039,LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10449868/gallery/medium-interior01.jpg,,1,43.3,프리스탠딩,4,860,498,362,914,1860,918,161,오브제컬렉션 베이지 / 클레이 브라운,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=j2dlBOwBTpkYaNKbPEeCA
REF040,LG 디오스 AI 오브제컬렉션 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10681841/gallery/medium-interior01.jpg,3200000,1,43.7,프리스탠딩,4,870,503,367,914,1860,918,155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
REF041,LG 디오스 AI 오브제컬렉션 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10681838/gallery/medium-interior01.jpg,3670000,1,43.7,프리스탠딩,4,870,503,367,914,1860,918,155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,0,
REF042,LG 디오스 AI 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10681835/gallery/medium-interior01.jpg,3774000,1,43.7,프리스탠딩,4,870,503,367,914,1860,918,156,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,
REF043,LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10681831/gallery/medium-interior01.jpg,4010000,1,43.3,프리스탠딩,4,860,498,362,914,1860,918,166,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,
REF044,LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10681829/gallery/medium-interior01.jpg,4120000,2,56.3,프리스탠딩,4,860,498,362,914,1860,918,155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=j2dlBOwBTpkYaNKbPEeCA
REF045,LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10559843/gallery/medium-interior01.jpg,,2,50.0,프리스탠딩,2,810,524,286,913,1790,913,128,오브제컬렉션 베이지 베이지,메탈,멀티냉각방식,1,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=m7n5HRb3XgGkpkMUGV1ojA
REF046,"LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559842/gallery/medium-interior01.jpg,,2,50.0,프리스탠딩,2,810,524,286,913,1790,913,134,오브제컬렉션 베이지 베이지,메탈,멀티냉각방식,1,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=m7n5HRb3XgGkpkMUGV1ojA
REF047,"LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559842/gallery/medium-interior01.jpg,,2,50.0,프리스탠딩,2,810,524,286,913,1790,913,134,오브제컬렉션 베이지 베이지,메탈,멀티냉각방식,1,0,
REF048,LG 디오스 오브제컬렉션 STEM 얼음정수 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10449858/gallery/medium-interior01.jpg,,2,54.5,프리스탠딩,4,820,458,362,914,1860,918,176,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=otHUga2ig4bN1Pyigc1zw
REF049,LG 디오스 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10409827/gallery/medium-interior01.jpg,,2,54.5,프리스탠딩,4,820,458,362,914,1860,918,182,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=otHUga2ig4bN1Pyigc1zw
REF050,LG 디오스 오브제컬렉션 STEM 얼음정수 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10449862/gallery/medium-interior01.jpg,,2,54.5,프리스탠딩,4,820,458,362,914,1792,918,158,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=LjEZy1YwVbNnxxG4nK1w
REF051,LG 디오스 오브제컬렉션 STEM 얼음정수 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10411829/gallery/medium-interior01.jpg,,2,54.5,프리스탠딩,4,820,458,362,914,1792,918,165,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=LjEZy1YwVbNnxxG4nK1w
REF052,LG SIGNATURE 얼음정수 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md08044485/gallery/medium-interior01.jpg,,3,3.0,,,840,505,335,912,1784,929,235,샤이니 유니버스,스테인리스,,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=I7KtMBaYqz2cKi6pduRFpQ
REF053,LG 모던엣지 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09091857/gallery/medium-interior01.jpg,980000,1,28.8,,,300,201,,595,1720,677,62,샤인,,멀티냉각방식,0,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=GJow7imGxpMsNtHlSMWhw
REF054,LG 모던엣지 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10366874/gallery/medium-interior01.jpg,980000,4,31.9,프리스탠딩,2,344,234,110,595,1860,682,71,몽블랑 네이처,메탈,멀티냉각방식,1,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=j6HTy8UONiTXGoIKsJtmmQ
REF055,LG SIGNATURE 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09911826/gallery/medium-interior01.jpg,,3,30.3,LG SIGNATURE,,403,291,112,700,1793,735,167,난방향 스테인리스,스테인리스,,1,0,
REF056,LG 모던엣지 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10672827/gallery/medium-interior01.jpg,1300000,3,34.9,프리스탠딩,2,462,329,133,705,1850,740,84,프라임 실버,메탈,멀티냉각방식,1,1,
REF057,LG 디오스 오브제컬렉션 냉장고 Fit & Max (본체),https://www.lge.co.kr/kr/images/refrigerators/md10522834/gallery/medium01.jpg,,2,32.9,Fit & Max,4,504,300,204,835,1860,685,122,패널 선택 필요,,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
REF058,LG 디오스 오브제컬렉션 냉장고 Fit & Max (본체),https://www.lge.co.kr/kr/images/refrigerators/md10522833/gallery/medium01.jpg,,2,32.9,Fit & Max,4,504,300,204,835,1860,685,123,패널 선택 필요,,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
REF059,LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555922/gallery/medium-interior01.jpg,3450000,2,32.9,Fit & Max,4,504,300,204,835,1860,685,136,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
REF060,LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555932/gallery/medium-interior01.jpg,3050000,2,32.9,Fit & Max,4,504,300,204,835,1860,685,133,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,1,1,
