제품명,이미지 링크,가격(원),에너지 소비효율등급,냉방 소비전력(W),냉방능력(W),정격전압(V),실외기 크기(mm),실내기 크기(mm),냉방면적(㎡),바람세기,제습,색상,제품사용설명서
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (4시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10302855/gallery/medium-interior01.jpg,,2등급,"1,830 / 310","6,500 / 1,600","220, 60",870 x 650 x 330,"380 x 1,915 x 295",71.5(52.8+18.7),5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10495867/gallery/medium-interior01.jpg,"4,107,000원",2등급,"2,100 / 310","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",71.5(52.8+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=CtIk6J6F6mXmEPYS6XYVZA
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10302862/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870 x 650 x 330,"380 x 1,915 x 295",75.6(56.9+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10397832/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870 x 650 x 330,"380 x 1,915 x 295",75.6(56.9+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10396871/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870 x 650 x 330,"380 x 1,915 x 295",75.6(56.9+18.7),5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10396863/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870 x 650 x 330,"380 x 1,915 x 295",75.6(56.9+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 오브제컬렉션 뷰II 에어컨 싱글 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10382826/gallery/medium-interior01.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
LG 휘센 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10462826/gallery/medium-interior01.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
LG 휘센 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈) + 뷰케이스,https://www.lge.co.kr/kr/images/air-conditioners/md10436850/gallery/medium-interior01.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
LG 휘센 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10462826/gallery/medium-interior01.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
LG 휘센 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10560846/gallery/medium-interior02.jpg,"2,945,000원",3등급,"2,350 / 310","7,000 / 2,400","220, 60",870x650x330,"350 x 1,795 x 266",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=HZtfnmMP7cpxSJ5TcMtT3w
LG 휘센 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10560847/gallery/medium-interior02.jpg,"2,650,000원",3등급,"2,350 / 310","7,000 / 2,400","220, 60",870x650x330,"350 x 1,795 x 266",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=HZtfnmMP7cpxSJ5TcMtT3w
LG 휘센 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10560847/gallery/medium-interior02.jpg,,3등급,"2,350 / 310","7,000 / 2,400","220, 60",870x650x330,"350 x 1,795 x 266",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=HZtfnmMP7cpxSJ5TcMtT3w
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10558826/gallery/medium-interior02.jpg,"2,942,000원",3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10558826/gallery/medium-interior02.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈) + 뷰케이스,https://www.lge.co.kr/kr/images/air-conditioners/md10664833/gallery/medium-interior01.jpg,"3,042,000원",3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10558877/gallery/medium-interior01.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10597864/gallery/medium-interior01.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10558866/gallery/medium-interior02.jpg,"3,108,000원",3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10558866/gallery/medium-interior02.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10576884/gallery/medium-interior01.jpg,"3,663,000원",2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=vCJ2j1ZpB3CUaXNv5tGqw
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 싱글 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10576878/gallery/medium-interior01.jpg,"3,131,000원",2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=vCJ2j1ZpB3CUaXNv5tGqw
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10576880/gallery/medium-interior01.jpg,"3,663,000원",2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=vCJ2j1ZpB3CUaXNv5tGqw
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10576857/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=vCJ2j1ZpB3CUaXNv5tGqw
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (4시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10495856/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=iBCaXvBMzrwPCIqgUftGXw
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (4시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10547837/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=bz6kRHDfY6kvueXPQ6q3Fg
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10495867/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=iBCaXvBMzrwPCIqgUftGXw
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈)매립배관형,https://www.lge.co.kr/kr/images/air-conditioners/md10598851/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=iBCaXvBMzrwPCIqgUftGXw
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10495862/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=iBCaXvBMzrwPCIqgUftGXw
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10495866/gallery/medium-interior02.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=iBCaXvBMzrwPCIqgUftGXw
LG 휘센 AI 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10781884/gallery/medium-interior01.jpg,,3등급,"2,350 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,795 x 288",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Squ2mSleGrHJrdsdbqFfrQ
LG 휘센 AI 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10781883/gallery/medium-interior01.jpg,"2,664,000원",3등급,"2,350 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,795 x 288",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Squ2mSleGrHJrdsdbqFfrQ
LG 휘센 AI 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10781883/gallery/medium-interior01.jpg,"2,775,000원",3등급,"2,350 / 310","7,000 / 2,400","220, 60",870x650x330,"350 x 1,795 x 288",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Squ2mSleGrHJrdsdbqFfrQ
LG 휘센 AI 오브제컬렉션 쿨 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10781857/gallery/medium-interior01.jpg,"2,775,000원",3등급,"2,350 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,795 x 320",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Squ2mSleGrHJrdsdbqFfrQ
LG 휘센 AI 오브제컬렉션 쿨 프로 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10781832/gallery/medium-interior01.jpg,"2,831,000원",3등급,"2,350 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,795 x 288",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=JmceXZIHbAnaVlg7p5W68A
LG 휘센 AI 오브제컬렉션 쿨 프로 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10781832/gallery/medium-interior01.jpg,"2,831,000원",3등급,"2,350 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,795 x 288",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=JmceXZIHbAnaVlg7p5W68A
LG 휘센 AI 오브제컬렉션 쿨 프로 에어컨 2in1 (4시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10780832/gallery/medium-interior01.jpg,"2,942,000원",3등급,"2,350 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,795 x 320",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=JmceXZIHbAnaVlg7p5W68A
LG 휘센 AI 오브제컬렉션 칸 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10807837/gallery/medium-interior01.jpg,,3등급,"2,350 / 320","7,000 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",56.9,3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ARUQSiBEwDHMcqgkpCug
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10783854/gallery/medium-interior01.jpg,"2,997,000원",3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",56.9,5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=SMm5qgJSPI1u0qUXwsNJnw
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10783852/gallery/medium-interior01.jpg,"3,053,000원",3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=SMm5qgJSPI1u0qUXwsNJnw
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10783834/gallery/medium-interior01.jpg,"3,219,000원",3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=SMm5qgJSPI1u0qUXwsNJnw
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10782858/gallery/medium-interior01.jpg,"3,719,000원",2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=1h2334ObrNW8ouyu4DCVbA
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (4시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10782832/gallery/medium-interior01.jpg,"3,941,000원",2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=1h2334ObrNW8ouyu4DCVbA
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (5시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10742844/gallery/medium-interior01.jpg,"4,385,000원",2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Gj6u0VM7mUI05PFMjFrvJA
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10742836/gallery/medium-interior01.jpg,"4,551,000원",2등급,"2,070 / 310","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Gj6u0VM7mUI05PFMjFrvJA
LG 휘센 AI 오브제컬렉션 위너 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10807833/gallery/medium-interior01.jpg,"2,686,000원",3등급,"2,350 / 320","7,000 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",56.9,3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ARUQSiBEwDHMcqgkpCug
LG 휘센 오브제컬렉션 칸 에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md09948858/gallery/medium-interior01.jpg,"2,145,000원",3등급,"2,080 / 320","7,000 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",56.9,3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=XNJ37mp9XDGEOMDTuHJbeg
LG 휘센 오브제컬렉션 칸 에어컨 2in1,https://www.lge.co.kr/kr/images/air-conditioners/md10278873/gallery/medium-interior01.jpg,"2,609,000원",3등급,"2,080 / 320","7,000 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",75.6(56.9+18.7),3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=XNJ37mp9XDGEOMDTuHJbeg
LG 휘센 오브제컬렉션 위너 에어컨 2in1,https://www.lge.co.kr/kr/images/air-conditioners/md10278875/gallery/medium-interior01.jpg,"2,609,000원",3등급,"2,080 / 320","7,000 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",75.6(56.9+18.7),3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=XNJ37mp9XDGEOMDTuHJbeg
LG 휘센 오브제컬렉션 위너 2in1,https://www.lge.co.kr/kr/images/air-conditioners/md10124829/gallery/medium-interior01.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",75.6(56.9+18.7),3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=XNJ37mp9XDGEOMDTuHJbeg
LG 휘센 오브제컬렉션 타워I 에어컨 2in1 (9시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10297832/gallery/medium-interior02.jpg,,1등급,"1,670 / 280","7,200 / 1,700","220, 60",870 x 800 x 320,"380 x 1,915 x 295",77.2(58.5+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=HmiMeCCB8wPNCBFSJICCPg
LG 휘센 오브제컬렉션 타워II 싱글 에어컨 (4시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10302833/gallery/medium-interior01.jpg,,2등급,"2,100 / 310","7,200 / 1,600","220, 60",870 x 650 x 330,"380 x 1,915 x 295",58.5,5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 오브제컬렉션 뷰II 에어컨 싱글 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10472831/gallery/medium-interior01.jpg,,3등급,"2,200 / 320","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",58.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
LG 휘센 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10359832/gallery/medium-interior01.jpg,,3등급,"2,200 / 320","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",77.2(58.5+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
LG 휘센 오브제컬렉션 뷰 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10351842/gallery/medium-interior01.jpg,,2등급,"2,100 / 310","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",77.2(58.5+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=bVl0qzaIyepXmx9gDtUAQ
