제품명,이미지 링크,가격(원),에너지 소비효율등급,냉방 소비전력(W),냉방능력(W),정격전압(V),실외기 크기(mm),실내기 크기(mm),냉방면적(㎡),바람세기,제습,색상,제품사용설명서
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (9시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10738845/gallery/medium-interior01.jpg,"6,049,000원",2등급,"1,830 / 350","7,200 / 2,800","220, 60",870 x 800 x 320,"380 x 1,915 x 295",58.5,5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=VeBvxgsv9u6PPFuMrJQ
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (9시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10738841/gallery/medium-interior01.jpg,"6,627,000원",1등급,"2,050 / 290","7,200 / 2,800","220, 60",870 x 800 x 320,"380 x 1,915 x 295",58.5,5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=VeBvxgsv9u6PPFuMrJQ
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (9시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10738846/gallery/medium-interior01.jpg,"6,049,000원",2등급,"1,830 / 350","7,200 / 2,800","220, 60",870 x 800 x 320,"380 x 1,915 x 295",58.5,5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=VeBvxgsv9u6PPFuMrJQ
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (9시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10738842/gallery/medium-interior01.jpg,"6,627,000원",1등급,"2,050 / 290","7,200 / 2,800","220, 60",870 x 800 x 320,"380 x 1,915 x 295",58.5,5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=VeBvxgsv9u6PPFuMrJQ
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10783852/gallery/medium-interior01.jpg,"3,053,000원",3등급,"2,200 / 320","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",58.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=SMm5qgJSPI1u0qUXwsNJnw
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10783834/gallery/medium-interior01.jpg,"3,219,000원",3등급,"2,200 / 320","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",58.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=SMm5qgJSPI1u0qUXwsNJnw
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10782860/gallery/medium-interior01.jpg,"3,885,000원",2등급,"2,100 / 310","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",58.5,5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=1h2334ObrNW8ouyu4DCVbA
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10782858/gallery/medium-interior01.jpg,"3,774,000원",2등급,"2,100 / 310","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",58.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=1h2334ObrNW8ouyu4DCVbA
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10782857/gallery/medium-interior01.jpg,"4,351,000원",1등급,"1,810 / 280","7,200 / 1,700","220, 60",870x800x320,"350 x 1,840 x 295",58.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=1h2334ObrNW8ouyu4DCVbA
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (4시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10782832/gallery/medium-interior01.jpg,"3,941,000원",2등급,"2,100 / 310","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",58.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=1h2334ObrNW8ouyu4DCVbA
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (5시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10742839/gallery/medium-interior01.jpg,"4,496,000원",2등급,"2,100 / 310","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",58.5,5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=Gj6u0VM7mUI05PFMjFrvJA
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (5시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10742844/gallery/medium-interior01.jpg,"4,385,000원",2등급,"2,100 / 310","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",58.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Gj6u0VM7mUI05PFMjFrvJA
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10742837/gallery/medium-interior01.jpg,"4,662,000원",2등급,"2,100 / 310","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",58.5,5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=Gj6u0VM7mUI05PFMjFrvJA
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10742836/gallery/medium-interior01.jpg,"4,551,000원",2등급,"2,100 / 310","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",58.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Gj6u0VM7mUI05PFMjFrvJA
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10742833/gallery/medium-interior01.jpg,"5,350,000원",1등급,"2,050 / 320","7,200 / 2,800","220, 60",870x800x320,"350 x 1,840 x 295",58.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2T9LtZIbc7D5duR8qrISw
LG 휘센 AI 오브제컬렉션 위너 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10821833/gallery/medium-interior01.jpg,,3등급,"2,400 / 320","7,200 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",58.5,3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ARUQSiBEwDHMcqgkpCug
LG 휘센 오브제컬렉션 위너 에어컨 2in1,https://www.lge.co.kr/kr/images/air-conditioners/md10278857/gallery/medium-interior01.jpg,,3등급,"2,200 / 320","7,200 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",77.2(58.5+18.7),3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=XNJ37mp9XDGEOMDTuHJbeg
LG 휘센 오브제컬렉션 위너 에어컨 2in1,https://www.lge.co.kr/kr/images/air-conditioners/md10278867/gallery/medium-interior01.jpg,"2,609,000원",3등급,"2,200 / 320","7,200 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",77.2(58.5+18.7),3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=XNJ37mp9XDGEOMDTuHJbeg
LG 휘센 오브제컬렉션 위너 에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10207830/gallery/medium-interior01.jpg,,3등급,"2,200 / 320","7,200 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",58.5,3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=XNJ37mp9XDGEOMDTuHJbeg
LG 휘센 오브제컬렉션 위너 에어컨 2in1,https://www.lge.co.kr/kr/images/air-conditioners/md10160840/gallery/medium-interior01.jpg,,3등급,"2,200 / 320","7,200 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",77.2(58.5+18.7),3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=XNJ37mp9XDGEOMDTuHJbeg
LG 휘센 오브제컬렉션 위너 에어컨 2in1,https://www.lge.co.kr/kr/images/air-conditioners/md10481830/gallery/medium-interior01.jpg,,3등급,"2,200 / 320","7,200 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",77.2(58.5+18.7),3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=XNJ37mp9XDGEOMDTuHJbeg
LG 휘센 오브제컬렉션 위너 에어컨 2in1 매립배관형,https://www.lge.co.kr/kr/images/air-conditioners/md10160841/gallery/medium-interior01.jpg,,3등급,"2,200 / 320","7,200 / 1,600","220, 60",870 x 650 x 330,"350 x 1,820 x 300",77.2(58.5+18.7),3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=XNJ37mp9XDGEOMDTuHJbeg
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10558826/gallery/medium-interior02.jpg,"3,108,000원",3등급,"2,300 / 325","7,700 / 1,700","220, 60",870x800x320,"350 x 1,840 x 295",81.3(62.6+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10558866/gallery/medium-interior02.jpg,,3등급,"2,300 / 325","7,700 / 1,700","220, 60",870x800x320,"350 x 1,840 x 295",81.3(62.6+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10576857/gallery/medium-interior01.jpg,,2등급,"2,300 / 310","7,700 / 1,700","220, 60",870x800x320,"350 x 1,840 x 295",81.3(62.6+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=vCJ2j1ZpB3CUaXNv5tGqw
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10783852/gallery/medium-interior01.jpg,"3,186,000원",3등급,"2,300 / 325","7,700 / 1,700","220, 60",870x800x320,"350 x 1,840 x 295",62.6,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=SMm5qgJSPI1u0qUXwsNJnw
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (2시리즈)매립배관형,https://www.lge.co.kr/kr/images/air-conditioners/md10324841/gallery/medium-interior01.jpg,,2등급,"2,350 / 310","8,100 / 1,700","220, 60",870 x 800 x 320,"380 x 1,915 x 295",84.6(65.9+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 오브제컬렉션 쿨 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10561826/gallery/medium-interior01.jpg,"3,389,000원",3등급,"2,800 / 310","8,100 / 2,400","220, 60",870x800x320,"350 x 1,795 x 266",84.6(65.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=HZtfnmMP7cpxSJ5TcMtT3w
LG 휘센 오브제컬렉션 쿨 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10561826/gallery/medium-interior01.jpg,,3등급,"2,800 / 310","8,100 / 2,400","220, 60",870x800x320,"350 x 1,795 x 266",84.6(65.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=HZtfnmMP7cpxSJ5TcMtT3w
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10495867/gallery/medium-interior01.jpg,"4,606,000원",2등급,"2,400 / 310","8,200 / 1,700","220, 60",870x800x320,"350 x 1,840 x 295",84.6(65.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=CtIk6J6F6mXmEPYS6XYVZA
LG 휘센 AI 오브제컬렉션 쿨 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10781853/gallery/medium-interior01.jpg,,3등급,"2,800 / 310","8,100 / 2,400","220, 60",870x800x320,"350 x 1,795 x 320",65.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Squ2mSleGrHJrdsdbqFfrQ
LG 휘센 AI 오브제컬렉션 위너 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10807831/gallery/medium-interior01.jpg,,3등급,"2,530 / 320","8,100 / 1,600","220, 60",870 x 800 x 320,"350 x 1,820 x 300",65.9,3단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=AI2yqWoSZESJ9tICDWVvA
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (4시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10301831/gallery/medium-interior01.jpg,,2등급,"2,400 / 310","8,200 / 1,700","220, 60",870 x 800 x 320,"380 x 1,915 x 295",93.2(74.5+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (9시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10492861/gallery/medium-interior01.jpg,,1등급,"2,050 / 280","8,200 / 1,700","220, 60",870 x 800 x 320,"380 x 1,915 x 295",93.2(74.5+18.7),5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Nfb8Zk3OveQ8W2a25HmiRQ
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10495861/gallery/medium-interior01.jpg,,2등급,"2,400 / 310","8,200 / 1,700","220, 60",870x800x320,"350 x 1,840 x 295",93.2(74.5+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=iBCaXvBMzrwPCIqgUftGXw
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10495860/gallery/medium-interior01.jpg,,2등급,"2,400 / 310","8,200 / 1,700","220, 60",870x800x320,"350 x 1,840 x 295",93.2(74.5+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=iBCaXvBMzrwPCIqgUftGXw
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (9시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10738838/gallery/medium-interior01.jpg,"7,182,000원",1등급,"2,200 / 290","8,200 / 2,850","220, 60",870 x 800 x 320,"380 x 1,915 x 295",74.5,5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=VeBvxgsv9u6PPFuMrJQ
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (9시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10738840/gallery/medium-interior01.jpg,"7,182,000원",1등급,"2,200 / 290","8,200 / 2,850","220, 60",870 x 800 x 320,"380 x 1,915 x 295",74.5,5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=VeBvxgsv9u6PPFuMrJQ
LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10783834/gallery/medium-interior01.jpg,"3,796,000원",,,,,,,,,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=SMm5qgJSPI1u0qUXwsNJnw
LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10782858/gallery/medium-interior01.jpg,"4,351,000원",2등급,"2,800 / 290","8,200 / 2,400","220, 60",870x800x320,"350 x 1,840 x 295",74.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=1h2334ObrNW8ouyu4DCVbA
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10742835/gallery/medium-interior01.jpg,"5,350,000원",2등급,"2,500 / 360","8,200 / 2,850","220, 60",870x800x320,"350 x 1,840 x 295",74.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2T9LtZIbc7D5duR8qrISw
LG 휘센 오브제컬렉션 타워I 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10333829/gallery/medium-interior01.jpg,,1등급,"2,350 / 280","9,000 / 1,700","220, 60",870 x 800 x 320,"380 x 1,915 x 295",100.5(81.8+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=cofEdVGrPuYpbwXPl49A
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (5시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10733834/gallery/medium-interior01.jpg,"5,627,000원",2등급,"2,280 / 300","9,000 / 2,450","220, 60",870 x 800 x 320,"380 x 1,915 x 295",81.8,5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=7PJedwHolVWDWBKsTN35g
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (5시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10495851/gallery/medium-interior01.jpg,"5,627,000원",2등급,"2,280 / 300","9,000 / 2,450","220, 60",870 x 800 x 320,"380 x 1,915 x 295",81.8,5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=7PJedwHolVWDWBKsTN35g
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (9시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10492853/gallery/medium-interior01.jpg,,1등급,"2,350 / 280","9,000 / 1,700","220, 60",870 x 800 x 320,"380 x 1,915 x 295",100.5(81.8+18.7),5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Nfb8Zk3OveQ8W2a25HmiRQ
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (9시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10738836/gallery/medium-interior01.jpg,"7,570,000원",1등급,"2,500 / 290","9,000 / 2,850","220, 60",870 x 800 x 320,"380 x 1,915 x 295",81.8,5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=VeBvxgsv9u6PPFuMrJQ
LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (9시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10738837/gallery/medium-interior01.jpg,"7,570,000원",1등급,"2,500 / 290","9,000 / 2,850","220, 60",870 x 800 x 320,"380 x 1,915 x 295",81.8,5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=VeBvxgsv9u6PPFuMrJQ
LG 휘센 오브제컬렉션 쿨 사계절에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10658826/gallery/medium-interior01.jpg,"3,608,000원",,"1,850 / 290","6,500 / 2,080","220, 60",870 x 800 x 320,"350 x 1,795 x 266",71.5(52.8+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=x9KwisOE2GEP6gjg2BV3A
LG 휘센 오브제컬렉션 쿨 사계절에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10658826/gallery/medium-interior01.jpg,"3,719,000원",,"1,850 / 290","6,500 / 2,080","220, 60",870 x 800 x 320,"350 x 1,795 x 266",71.5(52.8+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=x9KwisOE2GEP6gjg2BV3A
LG 휘센 사계절에어컨 (위너),https://www.lge.co.kr/kr/images/air-conditioners/md09765838/gallery/medium-interior01.jpg,"2,775,000원",냉방4 / 난방5,"2,200 / 360","6,500 / 1,800","220, 60",870 x 800 x 320,"350 x 1,820 x 300",52.8,3단계,O 있음,웨딩 스노우,https://gscs-b2c.lge.com/open/downloadFile?fileId=6f2JtfbaFr0tUxdp8xKVUQ
LG 휘센 오브제컬렉션 뷰I 사계절에어컨(3시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10463831/gallery/medium-interior02.jpg,"3,719,000원",냉방 3등급/ 난방 5등급,"2,080 / 300","7,200 / 2,150","220, 60",870 x 800 x 320,"350 x 1,840 x 295",58.5,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=wW21X2ofjE877CwlzfjN5Q
LG 휘센 오브제컬렉션 사계절에어컨 2in1 (타워 히트),https://www.lge.co.kr/kr/images/air-conditioners/md10278853/gallery/medium-interior01.jpg,"4,329,000원",,"2,390 / 360","8,100 / 1,900","220, 60",870 x 800 x 320,"380 x 1,915 x 295",84.6(65.9+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=Uwmas4HUrmnZAQrvRJXg
LG 휘센 오브제컬렉션 타워I 사계절에어컨 (프리미엄),https://www.lge.co.kr/kr/images/air-conditioners/md10262833/gallery/medium-interior01.jpg,,,"2,390 / 360","8,100 / 1,900","220, 60",870 x 800 x 320,"380 x 1,915 x 295",84.6(65.9+18.7),5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ku2S1gA2eFa7oshT0BnNw
LG 휘센 오브제컬렉션 사계절에어컨 2in1 (타워 스페셜),https://www.lge.co.kr/kr/images/air-conditioners/md10278851/gallery/medium-interior01.jpg,,,"2,390 / 360","8,100 / 1,900","220, 60",870 x 800 x 320,"380 x 1,915 x 295",84.6(65.9+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=WXLRod5NkjG8XpAmwcg
LG 휘센 오브제컬렉션 이동식 에어컨 (듀얼호스),https://www.lge.co.kr/kr/images/air-conditioners/md10572830/gallery/medium-interior01.jpg,"1,166,000원",1등급,"1,260 / 521","2,800","220, 60",,,23.0,3단계,O 있음,화이트(로즈데코),https://gscs-b2c.lge.com/open/downloadFile?fileId=CN4m80sJ7KkqaVbxxWRQ
LG 휘센 오브제컬렉션 이동식 에어컨 (듀얼호스),https://www.lge.co.kr/kr/images/air-conditioners/md10572827/gallery/medium-interior01.jpg,"1,277,000원",1등급,"1,540 / 521","3,200","220, 60",,,26.0,3단계,O 있음,카밍 베이지(로즈데코),https://gscs-b2c.lge.com/open/downloadFile?fileId=CN4m80sJ7KkqaVbxxWRQ
