제품명,이미지 링크,가격(원),에너지 소비효율등급,냉방 소비전력(W),냉방능력(W),정격전압(V),실외기 크기(mm),실내기 크기(mm),냉방면적(㎡),바람세기,제습,색상,제품사용설명서
LG 휘센 오브제컬렉션 이동식 에어컨 (듀얼호스),https://www.lge.co.kr/kr/images/air-conditioners/md10572832/gallery/medium-interior01.jpg,"1,221,000원",1등급,"1,540 / 521","3,200","220, 60",,,26.0,3단계,O 있음,화이트(로즈데코),https://gscs-b2c.lge.com/open/downloadFile?fileId=CN4m80sJ7KkqaVbxxWRQ
LG 휘센 오브제컬렉션 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09107826/gallery/medium-interior01.jpg,,,,"2,300 W",220V / 60Hz,,857 x 348 x 192,18.7,O (6단계) 있음,O 있음,카밍 그린,https://gscs-b2c.lge.com/open/downloadFile?fileId=t8aUBxdbWHwXG4frd6bzg
LG 휘센 오브제컬렉션 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09126826/gallery/medium-interior01.jpg,,,,"2,300 W",220V / 60Hz,,837 x 302 x 192 mm,18.7,O (6단계) 있음,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=XhXPqlqrq6lCqYGFMLP3PQ
LG 휘센 오브제컬렉션 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09863828/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,774 x 348 x 192,18.7,6단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ewc3YNeBmqqLvKbZqAO8g
LG 휘센 오브제컬렉션 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09863829/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,774 x 348 x 192,18.7,6단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ewc3YNeBmqqLvKbZqAO8g
LG 휘센 오브제컬렉션 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09863830/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,774 x 348 x 192,18.7,6단계,O 있음,크림 그레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ewc3YNeBmqqLvKbZqAO8g
LG 휘센 오브제컬렉션 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09853832/gallery/medium-interior01.jpg,,,530,"2,300","220, 60",,857 x 348 x 192,18.7,6단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ewc3YNeBmqqLvKbZqAO8g
LG 휘센 오브제컬렉션 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09863826/gallery/medium-interior01.jpg,,,530,"2,300","220, 60",,857 x 348 x 192,18.7,6단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ewc3YNeBmqqLvKbZqAO8g
LG 휘센 오브제컬렉션 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09863827/gallery/medium-interior01.jpg,,,530,"2,300","220, 60",,857 x 348 x 192,18.7,6단계,O 있음,크림 그레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ewc3YNeBmqqLvKbZqAO8g
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09151829/gallery/medium-interior01.jpg,,,,"2,300 W",220V / 60Hz,,754 x 308 x 189,18.7,O (6단계) 있음,O 있음,웨딩 스노우,https://gscs-b2c.lge.com/open/downloadFile?fileId=Z1rgvo56SG4OHtjNBdnwQ
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09126830/gallery/medium-interior01.jpg,,,,"2,300 W",220V / 60Hz,,837 x 302 x 189,18.7,O (6단계) 있음,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=tqPxb5Rgb4xZBDbkQ7V1Q
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09119854/gallery/medium-interior01.jpg,,,,"2,300 W",220V / 60Hz,,756 x 265 x 184 mm,18.7,O (6단계) 있음,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=MyPBS9yXD5mF1JcPuWTaw
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09119855/gallery/medium-interior01.jpg,,,,"2,300 W",220V / 60Hz,,756 x 265 x 184 mm,18.7,O (3단계) 있음,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=xiJbFQMaYOX9CospThuw
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09863831/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,754 x 308 x 189,18.7,6단계,O 있음,웨딩 스노우,https://gscs-b2c.lge.com/open/downloadFile?fileId=KWAqFaPEu3PovLp1nqC2Q
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09863832/gallery/medium-interior01.jpg,,,530,"2,300","220, 60",,837 x 302 x 189,18.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=KWAqFaPEu3PovLp1nqC2Q
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10296826/gallery/medium-interior01.jpg,"743,000원",5등급,690 / 260,"2,300 / 1,100","220, 60",717 x 495 x 230,754 x 308 x 189,18.7,6단계,O 있음,웨딩 스노우,https://gscs-b2c.lge.com/open/downloadFile?fileId=SWV4EG3ihxtKuPigMTOiJQ
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10302869/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,754 x 308 x 189,18.7,6단계,O 있음,웨딩 스노우,https://gscs-b2c.lge.com/open/downloadFile?fileId=0nrQhSrjaoOhVEdSiUOMOw
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10302868/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,754x348x192,18.7,6단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=R4YNgpPA8M23gTcoWfl1w
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10333826/gallery/medium-interior01.jpg,,,530,"2,300","220, 60",,837 x 308 x 189,18.7,6단계,O 있음,웨딩 스노우,https://gscs-b2c.lge.com/open/downloadFile?fileId=yaIDB4SxCrgI60to8ybYkg
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10269826/gallery/medium-interior01.jpg,"1,263,000원",냉방 1등급,510 / 123,"2,300 / 854","220, 60",770 x 545 x 288,837 x 308 x 189,18.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=7vIu6wPwkyhRWgROS1oUg
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10302867/gallery/medium-interior01.jpg,,,530,"2,300","220, 60",,837x348x192,18.7,6단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=R4YNgpPA8M23gTcoWfl1w
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10509827/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,754x308x189,18.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Vf37tqBmi6gbxyS6rdnWA
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10509827/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,799x307x235,,6단계,,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Vf37tqBmi6gbxyS6rdnWA
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10768826/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,754x308x189,18.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=VBpnMlL0PR7Uw3qTnomvIA
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10516827/gallery/medium-interior01.jpg,"743,000원",5등급,690 / 260,"2,300 / 1,100","220, 60",717 x 495 x 230,754 x 308 x 189,18.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=QQQ6Skcd6TTtFjJsip84QA
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10509826/gallery/medium-interior01.jpg,,,530,"2,300","220, 60",,837x308x189,,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Vf37tqBmi6gbxyS6rdnWA
LG 휘센 AI 오브제컬렉션 듀얼쿨 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10509828/gallery/medium-interior01.jpg,,,530,"2,300","220, 60",,799x307x235,,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=fR7WnJxuytLLtEhTkrHnuw
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10731834/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,754x308x189,18.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=H4SvJs7oZ3I6E1tReRig
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10738835/gallery/medium-interior01.jpg,,,530,"2,300","220, 60",,837x308x189,18.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=lOUz6f4aYelGLU6cdZ3YPw
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10731831/gallery/medium-interior01.jpg,"1,199,000원",1등급,550 / 130,"2,300 / 873","220, 60",717x495x230,837x308x189,18.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=TxqsGo4xpEk7stzaD26Og
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10766829/gallery/medium-interior01.jpg,"1,188,000원",1등급,550 / 130,"2,300 / 873","220, 60",717x495x230,837x308x189,18.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=6JhtyIhhl0vFqngujcRs8A
LG 휘센 오브제컬렉션 듀얼쿨 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10731828/gallery/medium-interior01.jpg,,,530,"2,300","220, 60",,799x307x235,18.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=J7OckAbDsY3qEnYQvo6uw
LG 휘센 오브제컬렉션 듀얼쿨 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10754846/gallery/medium-interior01.jpg,,,530,"2,300","220, 60",,799x307x235,18.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=c4bhajdq5xxQ3weIhPmg
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10770842/gallery/medium-interior01.jpg,"722,000원",5등급,765 / 174,"2,300 / 789","220, 60",660x443x225,778x277x197,18.7,8단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=9vWpoRy7kdwgsdR9s9pA
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md08043927/gallery/medium-interior01.jpg,,,,"2,800 W",220V / 60Hz,,837 x 302 x 189,22.8,O 있음,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ru0SfSHR36xKNL5iPs3Q
LG 휘센 벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md08921863/gallery/medium-interior01.jpg,,,,"2,800 W",220V / 60Hz,,837 x 302 x 189,22.8,O 있음,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=A5mJSePS6cGgA5jYWMWA
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10333832/gallery/medium-interior01.jpg,,냉방 5등급,930 / 265,"2,800 / 1,160","220, 60",717 x 495 x 230,754 x 308 x 189,22.8,6단계,O 있음,웨딩 스노우,https://gscs-b2c.lge.com/open/downloadFile?fileId=SWV4EG3ihxtKuPigMTOiJQ
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10738835/gallery/medium-interior01.jpg,"1,321,000원",1등급,700 / 130,"2,800 / 971","220, 60",770x545x288,837x308x189,22.8,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=6JhtyIhhl0vFqngujcRs8A
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10731831/gallery/medium-interior01.jpg,"1,332,000원",1등급,700 / 130,"2,800 / 971","220, 60",770x545x288,837x308x189,22.8,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=OON2jlqyEYltpbgNozFHtw
LG 휘센 오브제컬렉션 듀얼쿨 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10754846/gallery/medium-interior01.jpg,"1,221,000원",3등급,820 / 162,"2,800 / 975","220, 60",717x495x230,799x307x235,22.8,6단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=yfe5OtgweW0ThRDGf0j9jg
LG 휘센 오브제컬렉션 듀얼쿨 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10731828/gallery/medium-interior01.jpg,"1,399,000원",3등급,820 / 162,"2,800 / 975","220, 60",717x495x230,799x307x235,22.8,6단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=YRxFj8UhgYc08MP76ormA
LG 휘센 AI 오브제컬렉션 듀얼쿨 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10731828/gallery/medium-interior01.jpg,"1,716,000원",1등급,690 / 135,"2,800 / 965","220, 60",770x545x288,799x307x235,22.8,6단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=J7OckAbDsY3qEnYQvo6uw
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10405827/gallery/medium-interior01.jpg,"1,188,000원",3등급,"1,150 / 150","3,600 / 984","220, 60",717x495x230,837x308x189,29.3,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=muchH3CbD8iRZie9GAEA
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10333831/gallery/medium-interior01.jpg,"1,332,000원",냉방 1등급,870 / 156,"3,600 / 1,150","220, 60",870x650x330,998x330x210,29.3,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=SWV4EG3ihxtKuPigMTOiJQ
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10731831/gallery/medium-interior01.jpg,"1,232,000원",3등급,"1,150 / 150","3,600 / 984","220, 60",717x495x230,837x308x189,29.3,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=68jGX37KZxRkmRZEphmZA
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10778836/gallery/medium-interior01.jpg,"1,499,000원",1등급,870 / 156,"3,600 / 1,150","220, 60",870x650x330,998x330x210,29.3,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=oJrnvikqFVPxPFSg2BlJTQ
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10766829/gallery/medium-interior01.jpg,"1,233,000원",4등급,"1,250 / 153","3,900 / 929","220, 60",717x495x230,837x308x189,31.7,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=JsfBhrGxS5USOFUlWOTKMQ
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10269827/gallery/medium-interior01.jpg,"1,610,000원",냉방 1등급,"1,000 / 174","4,200 / 1,280","220, 60",870 x 650 x 330,998 x 330 x 210,34.1,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=7vIu6wPwkyhRWgROS1oUg
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10778836/gallery/medium-interior01.jpg,"1,621,000원",1등급,"1,000 / 174","4,200 / 1,280","220, 60",870 x 650 x 330,998 x 330 x 210,34.1,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=oJrnvikqFVPxPFSg2BlJTQ
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10269828/gallery/medium-interior01.jpg,"1,794,000원",냉방 2등급,"1,420 / 174","5,200 / 1,320","220, 60",870 x 650 x 330,998 x 330 x 210,42.3,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=7vIu6wPwkyhRWgROS1oUg
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10778836/gallery/medium-interior01.jpg,"1,698,000원",2등급,"1,420 / 174","5,200 / 1,320","220, 60",870 x 650 x 330,998 x 330 x 210,42.3,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=IHN7k8C8xLQN1LkK0jVKOw
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10296830/gallery/medium-interior01.jpg,"2,030,000원",냉방 3등급,"2,050 / 316","6,500 / 1,950","220, 60",870x650x330,998x330x210,52.8,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=muchH3CbD8iRZie9GAEA
LG 휘센 벽걸이에어컨,https://www.lge.co.kr/kr/images/air-conditioners/md10778836/gallery/medium-interior01.jpg,"1,920,000원",3등급,"2,050 / 316","6,500 / 1,950","220, 60",870x650x330,998x330x210,52.8,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=IHN7k8C8xLQN1LkK0jVKOw
LG 휘센 오브제컬렉션 사계절에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md09736826/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,774 x 348 x 190,18.7,6단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=pEaAtDXBE4OZW6oLqHn4VA
LG 휘센 사계절벽걸이에어컨 (2in1),https://www.lge.co.kr/kr/images/air-conditioners/md10664841/gallery/medium-interior01.jpg,,,550,"2,300","220, 60",,754x308x189,,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=eLoDu7c3mmPBKsouVezJw
LG 휘센 사계절에어컨 (벽걸이),https://www.lge.co.kr/kr/images/air-conditioners/md10662826/gallery/medium-interior01.jpg,"1,565,000원",냉방 2등급 / 난방 3등급,850 / 156,"3,000 / 1,090","220, 60",770x545x288,998x330x210,24.4,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=iGZ1qmtxAMSYwOXawnwpdw
LG 휘센 사계절에어컨 (벽걸이),https://www.lge.co.kr/kr/images/air-conditioners/md10778835/gallery/medium-interior01.jpg,"1,510,000원",냉방 4등급 / 난방 3등급,740 / 144,"2,800 / 808","220, 60",717x495x230,837x308x189,22.8,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=IpKKs9YuTZpnxPbVpprg
LG 휘센 사계절에어컨 (벽걸이),https://www.lge.co.kr/kr/images/air-conditioners/md10731832/gallery/medium-interior02.jpg,"1,991,000원",냉방 1등급 / 난방 1등급,590 / 200,"2,700 / 1,300","220, 60",870x650x330,998x330x210,22.0,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=qJK2zqdb6sC7dpYdBha02A
LG 휘센 사계절에어컨 (벽걸이),https://www.lge.co.kr/kr/images/air-conditioners/md10269830/gallery/medium-interior01.jpg,,냉방 4등급 / 난방 4등급,"1,100 / 160","3,600 / 1,000","220, 60",770 x 545 x 288,837 x 308 x 189,29.3,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=pVlSNVCIdvvMkWsloxC1QQ
LG 휘센 AI 오브제컬렉션 듀얼쿨 사계절에어컨 (벽걸이),https://www.lge.co.kr/kr/images/air-conditioners/md10640826/gallery/medium-interior01.jpg,"2,109,000원",냉방 1등급 / 난방 1등급,810 / 185,"3,600 / 1,300","220, 60",870x650x330,"1,050x307x235",29.3,6단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuBRU4YxDC5hqnZn6g8hQ
LG 휘센 사계절에어컨 (벽걸이),https://www.lge.co.kr/kr/images/air-conditioners/md10662826/gallery/medium-interior01.jpg,"1,677,000원",냉방 3등급 / 난방 3등급,"1,130 / 156","3,600 / 1,090","220, 60",770x545x288,998x330x210,29.3,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=iGZ1qmtxAMSYwOXawnwpdw
LG 휘센 사계절에어컨 (벽걸이),https://www.lge.co.kr/kr/images/air-conditioners/md10662826/gallery/medium-interior01.jpg,"1,788,000원",냉방 2등급 / 난방 3등급,"1,250 / 210","4,700 / 1,490","220, 60",870x650x330,998x330x210,38.2,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=qJK2zqdb6sC7dpYdBha02A
LG 휘센 사계절에어컨 (벽걸이),https://www.lge.co.kr/kr/images/air-conditioners/md10662826/gallery/medium-interior01.jpg,"1,954,000원",냉방 2등급 / 난방 4등급,"1,440 / 210","5,200 / 1,500","220, 60",870x650x330,998x330x210,42.3,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=qJK2zqdb6sC7dpYdBha02A
LG 휘센 사계절에어컨 (벽걸이),https://www.lge.co.kr/kr/images/air-conditioners/md10662826/gallery/medium-interior01.jpg,"2,343,000원",냉방 4등급 / 난방 5등급,"2,010 / 292","6,500 / 1,650","220, 60",870x800x320,998x330x210,52.8,6단계,O 있음,화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=hZ2cxey823bgWdslscVmrA
LG 휘센 오브제컬렉션 엣지 창호형 에어컨 마감키트,https://www.lge.co.kr/kr/images/air-conditioners/md10771829/gallery/medium-interior01.jpg,"1,554,000원",1등급,990 / 180,"2,150","220, 60",,,16.5,5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=kxNJkGGJ1u2cWsGoo2mMOQ
LG 휘센 오브제컬렉션 엣지 창호형 에어컨 마감키트,https://www.lge.co.kr/kr/images/air-conditioners/md10771841/gallery/medium-interior01.jpg,"1,499,000원",1등급,990 / 180,"2,150","220, 60",,,16.5,5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=FtRPP9Lwxg72ne5iIXC1ZA
LG 휘센 오브제컬렉션 엣지 창호형 에어컨 마감키트,https://www.lge.co.kr/kr/images/air-conditioners/md10771829/gallery/medium-interior01.jpg,"1,554,000원",1등급,990 / 180,"2,360","220, 60",,,19.4,5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=kxNJkGGJ1u2cWsGoo2mMOQ
