제품명,이미지 링크,가격(원),에너지 소비효율 등급,소비전력(W),화면사이즈(cm),해상도,디스플레이 종류,주사율(Hz),운영체제,스피커 출력(W),스탠드 제외 크기(mm),스탠드 제외 무게(kg),제품 사용 설명서
LG Micro RGB evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10794841/gallery/medium-interior01.jpg,"16,500,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,252 cm,"4K UHD (3,840 x 2,160)",Micro RGB,120Hz (VRR 최대 165Hz),webOS 26,40W,"2,230 x 1,277 x 49.9",67.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=7g7LHiPnQ0ArCiR4LHqw
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10791858/gallery/medium-interior01.jpg,,1등급,0.5W↓,80 cm,"HD (1,366 x 768)",LED,60Hz,webOS 26,10W,719 x 430 x 71,3.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=TjlDdINPPzfddamy19qPw
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10791858/gallery/medium-interior01.jpg,"450,000원",1등급,0.5W↓,80 cm,"HD (1,366 x 768)",LED,60Hz,webOS 26,10W,719 x 430 x 71,3.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=0NoWMrt8yVoskJzWsA0PQ
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10791858/gallery/medium-interior01.jpg,"450,000원",1등급,0.5W↓,80 cm,"HD (1,366 x 768)",LED,60Hz,webOS 26,10W,719 x 430 x 71,3.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=75XPYjWun9r8hRTu67XYZQ
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10272836/gallery/medium-interior01.jpg,"450,000원",1등급,35.4,80 cm,"HD (1,366 x 768)",LED,60Hz,,,736 x 437 x 82.9,4.65,https://gscs-b2c.lge.com/open/downloadFile?fileId=jytE7EazXXVwNlvD2gJNA
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md09460826/gallery/medium-interior01.jpg,"450,000원",1등급,35.4,80 cm,"HD (1,366 x 768)",LED,60,,,736 x 437 x 82.9,4.65,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ex9qS4JM4rw8JMiuAv1ag
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md08989826/gallery/medium-interior01.jpg,"670,000원",1등급,68,107 cm,Full HD,LED,60,,,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=uSOwcIc6Jp7AomqluWMnVA
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543866/gallery/medium-interior01.jpg,,1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,968 x 565 x 29.7,9.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=lseYPJquAt2IbefvmHmSfw
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573857/gallery/medium-interior01.jpg,"1,040,000원",1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,967 x 564 x 57.1,8.8,https://gscs-b2c.lge.com/open/downloadFile?fileId=uJSS2X4KrryK1zI7kl9g
LG 나노셀 AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10543867/gallery/medium-interior01.jpg,"1,140,000원",1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,968 x 565 x 29.7,9.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=SYXWGBoQGm0L68TTrL8woQ
LG NANO 4K UHD AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10799857/gallery/medium-interior01.jpg,"1,040,000원",1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 26,20W,959 x 563 x 70.8,6.4,https://gscs-b2c.lge.com/open/downloadFile?fileId=NjdrZ2NQbPWMNVhw9P6YQ
LG 울트라 HD TV AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10610862/gallery/medium-interior01.jpg,"940,000원",1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,968 x 567 x 67.9,7.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=ZtAQPFBMZffFmLYJgIvQ
LG 울트라 HD TV AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10577832/gallery/medium-interior01.jpg,,1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,968 x 567 x 67.9,7.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=skGB8N1U2pnmrDVRFScUpQ
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10218827/gallery/medium-interior01.jpg,,1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 23,20W,968 x 565 x 29.7,9.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=jFyzkdugNJrON50A3b5bw
LG 울트라 HD TV (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10218829/gallery/medium-interior01.jpg,,1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 23,20W,968 x 565 x 29.7,9.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=jFyzkdugNJrON50A3b5bw
LG 울트라 HD TV (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10319874/gallery/medium-interior01.jpg,"1,170,000원",1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,968 x 565 x 29.7,9.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=XRE2Ujx3hSCLzOPlFA47fw
LG 나노셀 AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10543865/gallery/medium-interior01.jpg,"1,440,000원",1등급,0.5W↓,125 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,123 x 652 x 29.7",13.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=z3iVlf9YEKinGvL95dg9Q
LG 울트라 HD TV AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10610860/gallery/medium-interior01.jpg,"1,140,000원",1등급,0.5W↓,125 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,122 x 654 x 67.9",9.4,https://gscs-b2c.lge.com/open/downloadFile?fileId=iVeMo1ncDP85qnI8xXUbLw
LG 울트라 HD TV AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10577830/gallery/medium-interior01.jpg,,1등급,0.5W↓,125 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,122 x 654 x 67.9",9.4,https://gscs-b2c.lge.com/open/downloadFile?fileId=ErByi96Pmx8TXevfY0agvw
LG 울트라 HD TV AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10582833/gallery/medium-interior01.jpg,"1,090,000원",1등급,0.5W↓,125 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,122 x 654 x 67.9",9.4,https://gscs-b2c.lge.com/open/downloadFile?fileId=nVh2e3POOuE9FdWN7P399w
LG 울트라 HD TV (벽걸이형-무타공),https://www.lge.co.kr/kr/images/tvs/md10440828/gallery/medium-interior01.jpg,,1등급,0.5W↓,125 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,121 x 651 x 57.1",11.7,https://gscs-b2c.lge.com/open/downloadFile?fileId=8SRep24KlkjsfIIJta4rw
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10530839/gallery/medium-interior01.jpg,,1등급,0.5W↓,125 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,123 x 652 x 29.7",13.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=bYQ3T5xxkPeVWCyVCeLvQ
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543862/gallery/medium-interior01.jpg,,1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,236 x 716 x 29.7",15.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=ZmIsNYPyjd5nehdNENgVw
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573849/gallery/medium-interior01.jpg,"1,340,000원",1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,235 x 715 x 57.5",14,https://gscs-b2c.lge.com/open/downloadFile?fileId=haRmHmu8588mpNS3PM6ToA
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543862/gallery/medium-interior01.jpg,,1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,236 x 716 x 29.7",15.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=SlZ9dfiLBV0UAqDhD7Ji8A
LG 나노셀 AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10543863/gallery/medium-interior01.jpg,,1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,236 x 716 x 29.7",15.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=SlZ9dfiLBV0UAqDhD7Ji8A
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543862/gallery/medium-interior01.jpg,"1,890,000원",1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,236 x 716 x 29.7",15.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=c76K51RsBoqTUFlybow
LG NANO 4K UHD AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10799851/gallery/medium-interior01.jpg,"1,290,000원",1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 26,20W,"1,228 x 715 x 70.8",9.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=zP4eA1CRn4gvuHzbDCrnfg
LG QNED AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10654892/gallery/medium-interior01.jpg,"1,690,000원",1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,236 x 718 x 67.9",11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=JQTqja22P3nqzGS0NwYvkg
LG QNED evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10794838/gallery/medium-interior01.jpg,"1,490,000원",1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",mini LED,60Hz,webOS 26,20W,"1,236 x 718 x 67.9",11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=KqDLdL4lwkRSV9t10R6tgg
LG 울트라 HD TV AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10610858/gallery/medium-interior01.jpg,"1,240,000원",1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,236 x 718 x 67.9",11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=3nynHm7Io5ZbVBvt09OFwg
LG 울트라 HD TV AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10582831/gallery/medium-interior01.jpg,,1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,236 x 718 x 67.9",11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=LIuurmpvdsmKbuT5q6WSCA
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10219829/gallery/medium-interior01.jpg,,1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 23,20W,"1,236 x 716 x 29.7",15.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=jFyzkdugNJrON50A3b5bw
LG 울트라 HD TV (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10219830/gallery/medium-interior01.jpg,,1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 23,20W,"1,236 x 716 x 29.7",15.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=jFyzkdugNJrON50A3b5bw
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10366852/gallery/medium-interior01.jpg,,1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 23,20W,"1,236 x 716 x 29.7",15.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=jFyzkdugNJrON50A3b5bw
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10314859/gallery/medium-interior01.jpg,"1,490,000원",1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,236 x 716 x 29.7",15.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=4cw5G0RtRf80tQw8rDbIjg
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10530837/gallery/medium-interior01.jpg,,1등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,236 x 716 x 29.7",15.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=VUKTO8bVxsyUOT0dOc7Pg
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573849/gallery/medium-interior01.jpg,"2,090,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,454 x 838 x 57.7",21.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=s711oju5nUqHKcdFgHmvA
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543860/gallery/medium-interior01.jpg,,1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,456 x 840 x 29.7",23.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=WaNatfStB65ekb9nfgMQ
LG 나노셀 AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10543861/gallery/medium-interior01.jpg,,1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,456 x 840 x 29.7",23.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=WaNatfStB65ekb9nfgMQ
LG 나노셀 AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10543861/gallery/medium-interior01.jpg,"2,090,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,456 x 840 x 29.7",23.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=3wWNSLAt3fNiHQ4Q37HXxA
LG NANO 4K UHD AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10799851/gallery/medium-interior01.jpg,"2,090,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 26,20W,"1,447 x 838 x 70.8",13.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=PbXaXqYmJeirOZZT5zt7GQ
LG QNED AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10560833/gallery/medium-interior01.jpg,"2,390,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,456 x 840 x 29.7",22.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=hGI4mhUYJx1xQTMleF21GQ
LG QNED AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10654892/gallery/medium-interior01.jpg,"2,490,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,455 x 841 x 67.9",16.8,https://gscs-b2c.lge.com/open/downloadFile?fileId=t2TpV7EKLqDPncZ7fq2GA
LG QNED AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10560834/gallery/medium-interior01.jpg,"2,490,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,456 x 840 x 29.7",22.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=LP6Vo2eru3wGO4JIJpvOsw
LG QNED TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10402851/gallery/medium01.jpg,,1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 23,20W,"1,452 x 839 x 44.3",24.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=tCH3f9xLhYsg6B73MWBZpw
LG QNED evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10794836/gallery/medium-interior01.jpg,"2,690,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",mini LED,60Hz,webOS 26,20W,"1,455 x 841 x 67.9",16.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=PMZOLHJtDITU9eLlbywKGw
LG QNED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10319857/gallery/medium-interior01.jpg,"2,770,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,456 x 840 x 29.7",22.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=1g5szewMrCwheI8wNWeg
LG QNED TV (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10319858/gallery/medium-interior01.jpg,"2,770,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,456 x 840 x 29.7",22.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=1g5szewMrCwheI8wNWeg
LG QNED evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543857/gallery/medium-interior01.jpg,,1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",mini LED,120Hz (VRR 최대 144Hz),webOS 25,20W,"1,456 x 840 x 29.7",22.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=QBwpE534cbgJDYo0nuFaA
LG QNED evo AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10543858/gallery/medium-interior01.jpg,,2등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",mini LED,120Hz (VRR 최대 144Hz),webOS 25,20W,"1,456 x 840 x 29.7",22.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=HeUf4nzHFhty5ROTzaaIQ
LG Easy TV AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10684833/gallery/medium-interior02.jpg,"2,640,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",mini LED,120Hz (VRR 최대 144Hz),webOS 25,20W,"1,456 x 840 x 29.7",22.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=MtEGNyt68Y0fn73xv5dBDQ
LG QNED evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543857/gallery/medium-interior01.jpg,"2,590,000원",2등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",mini LED,120Hz (VRR 최대 144Hz),webOS 25,20W,"1,456 x 840 x 29.7",22.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=FgfyK3fryYYZxmFVPBoAzQ
LG QNED evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10654837/gallery/medium-interior01.jpg,,1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",mini LED,120Hz (VRR 최대 144Hz),webOS 25,40W,"1,445 x 830 x 58.5",18.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=R1kY7q7FfYXjGem82uXIg
LG QNED evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10648828/gallery/medium-interior01.jpg,"2,890,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",mini LED,120Hz (VRR 최대 144Hz),webOS 25,40W,"1,445 x 830 x 58.5",18.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=R1kY7q7FfYXjGem82uXIg
LG 울트라 HD TV AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10610856/gallery/medium-interior01.jpg,"1,790,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,455 x 841 x 67.9",16.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=sO5EljZ0IYXc31JaN4xJJQ
LG 울트라 HD TV AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10575830/gallery/medium-interior01.jpg,,1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,455 x 841 x 67.9",16.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=TN4odlru6xMWBpdIjMyRg
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md09689831/gallery/medium-interior01.jpg,,1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 22,20W,"1,454 x 838 x 57.7",21.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=FXTKh3UR0WBxP0d1qdP9HQ
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10366855/gallery/medium-interior01.jpg,,1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 23,20W,"1,456 x 840 x 29.7",23.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=jFyzkdugNJrON50A3b5bw
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10314857/gallery/medium-interior01.jpg,"2,090,000원",1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,456 x 840 x 29.7",23.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=JR4buumcUkOiPj7SaolA
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10530835/gallery/medium-interior01.jpg,,1등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,456 x 840 x 29.7",23.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=V8jEh4CE8cDRtXQBTQl8g
LG Micro RGB evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10799835/gallery/medium-interior01.jpg,"9,020,000원",3등급,0.5W↓,189 cm,"4K UHD (3,840 x 2,160)",Micro RGB,120Hz (VRR 최대 165Hz),webOS 26,40W,"1,673 x 963 x 44.9",40.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=8XILF4ldk7sqqT34dmsLnw
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573847/gallery/medium-interior01.jpg,,1등급,0.5W↓,189 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,678 x 964 x 59.9",31.4,https://gscs-b2c.lge.com/open/downloadFile?fileId=OIulWvkJPYXemXM3yKzElg
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10542835/gallery/medium-interior01.jpg,,1등급,0.5W↓,189 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,677 x 965 x 30.9",33.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=uQZeClago32Wu1pYmmZag
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573847/gallery/medium-interior01.jpg,"2,790,000원",1등급,0.5W↓,189 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,678 x 964 x 59.9",31.4,https://gscs-b2c.lge.com/open/downloadFile?fileId=4r0loTZ6CLIs1ieRdUrbFw
