제품명,이미지 링크,가격(원),에너지 소비효율등급,소비전력(W),설치타입,도어 개수,전체 용량(L),냉장 용량(L),냉동 용량(L),제품 크기(mm),무게(kg),색상,도어 재질,냉각방식,스마트 진단,아이스메이커,제품 사용 설명서
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555923/gallery/medium-interior01.jpg,"3,850,000원",2등급,32.9,Fit & Max,4도어,504,300,204,"835 x 1,860 x 685",129,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
LG 디오스 AI 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10635852/gallery/medium01.jpg,,1등급,29.5,Fit & Max,4도어,609,380,229,"914 x 1,860 x 698",132,패널 선택 필요,,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 AI 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10635849/gallery/medium-interior01.jpg,"4,218,000원",1등급,29.5,Fit & Max,4도어,609,380,229,"914 x 1,860 x 698",146,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 AI 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10635853/gallery/medium-interior01.jpg,"3,750,000원",1등급,29.5,Fit & Max,4도어,609,380,229,"914 x 1,860 x 698",144,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 AI 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10635855/gallery/medium-interior01.jpg,"3,350,000원",1등급,29.5,Fit & Max,4도어,609,380,229,"914 x 1,860 x 698",140,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 빌트인 타입 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09053846/gallery/medium-interior01.jpg,,2등급 39kWh/월,2등급 39kWh/월,,,613,384,229,"914 x 1,860 x 698",142,오브제컬렉션 클레이 브라운 / 베이지,글라스,,O 있음,,
LG 디오스 오브제컬렉션 빌트인 타입 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09053854/gallery/medium-interior01.jpg,,2등급 39kWh/월,2등급 39kWh/월,,,613,384,229,"914 x 1,860 x 698",138,오브제컬렉션 그레이 / 블랙,메탈,,O 있음,,https://gscs-b2c.lge.com/open/downloadFile?fileId=wUJir3fhRlzj52rmIVSOA
LG 디오스 오브제컬렉션 냉장고 Fit & Max (본체),https://www.lge.co.kr/kr/images/refrigerators/md10540850/gallery/medium01.jpg,,2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",129,패널 선택 필요,,멀티냉각방식,O 있음,아이스 트레이,
LG 디오스 오브제컬렉션 냉장고 Fit & Max (본체),https://www.lge.co.kr/kr/images/refrigerators/md10558849/gallery/medium01.jpg,,2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",130,패널 선택 필요,,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (본체),https://www.lge.co.kr/kr/images/refrigerators/md10528827/gallery/medium01.jpg,,2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",132,패널 선택 필요,,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
"LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온, 본체)",https://www.lge.co.kr/kr/images/refrigerators/md10540833/gallery/medium01.jpg,,2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",141,패널 선택 필요,,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
"LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온, 본체)",https://www.lge.co.kr/kr/images/refrigerators/md10528826/gallery/medium01.jpg,,2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",141,패널 선택 필요,,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555893/gallery/medium-interior01.jpg,,2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",143,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555893/gallery/medium-interior01.jpg,"3,600,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",143,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10558853/gallery/medium-interior01.jpg,"4,052,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",144,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10558853/gallery/medium-interior01.jpg,"4,052,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",144,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10540832/gallery/medium-interior01.jpg,"4,050,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",146,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555840/gallery/medium-interior01.jpg,,2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",146,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10555877/gallery/medium-interior01.jpg,"4,440,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",151,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10516831/gallery/medium-interior01.jpg,"4,773,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",147,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10553840/gallery/medium-interior01.jpg,,2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",151,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555865/gallery/medium-interior01.jpg,,2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",143,오브제컬렉션 네이비 / 에센스 화이트,메탈,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555900/gallery/medium-interior01.jpg,"3,200,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",140,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10558862/gallery/medium-interior01.jpg,"3,608,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",141,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,트위스트 아이스 메이커,
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555875/gallery/medium-interior01.jpg,"3,650,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",143,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10555887/gallery/medium-interior01.jpg,"4,107,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",148,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10553852/gallery/medium-interior01.jpg,"4,400,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",148,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10553851/gallery/medium-interior01.jpg,,2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",148,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555891/gallery/medium-interior01.jpg,"4,000,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",140,오브제컬렉션 그린 / 실버,스테인리스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10558851/gallery/medium-interior01.jpg,"4,496,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",141,오브제컬렉션 그린 / 실버,스테인리스,멀티냉각방식,O 있음,트위스트 아이스 메이커,
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555867/gallery/medium-interior01.jpg,"4,450,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",143,오브제컬렉션 그린 / 실버,스테인리스,멀티냉각방식,O 있음,트위스트 아이스 메이커,
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555844/gallery/medium-interior01.jpg,,2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",143,오브제컬렉션 그린 / 실버,스테인리스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10555879/gallery/medium-interior01.jpg,"4,773,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",148,오브제컬렉션 그린 / 실버,스테인리스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10553836/gallery/medium-interior01.jpg,"5,050,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",148,오브제컬렉션 그린 / 실버,스테인리스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10553837/gallery/medium-interior01.jpg,,2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",148,오브제컬렉션 그린 / 실버,스테인리스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555890/gallery/medium-interior01.jpg,"4,000,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",140,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10558850/gallery/medium-interior01.jpg,"4,496,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",141,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555866/gallery/medium-interior01.jpg,"4,450,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",143,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555841/gallery/medium-interior01.jpg,,2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",143,오브제컬렉션 실버 / 실버,스테인리스,멀티냉각방식,O 있음,트위스트 아이스 메이커,
LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10555878/gallery/medium-interior01.jpg,"4,773,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",143,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10553834/gallery/medium-interior01.jpg,"5,106,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",148,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10553835/gallery/medium-interior01.jpg,,2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",148,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10315849/gallery/medium-interior01.jpg,,1등급,43.3,프리스탠딩,4도어,858,496,362,"914 x 1,860 x 918",166,오브제컬렉션 그린 실버,스테인리스,멀티냉각방식,O 있음,X 제공안함,https://gscs-b2c.lge.com/open/downloadFile?fileId=c9BG8ZgHNHO67vkfL4UOA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (본체),https://www.lge.co.kr/kr/images/refrigerators/md10364848/gallery/medium01.jpg,,1등급,41.5,프리스탠딩,4도어,857,497,360,"914 x 1,860 x 918",152,패널 선택 필요,,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=hdGrsMWBUO5EpHWkPlbQ
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10390893/gallery/medium-interior01.jpg,"4,607,000원",2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",166,오브제컬렉션 크림 화이트 / 크림 화이트,메탈,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=zh6tQZHE0xnC65VkEMAERw
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10419855/gallery/medium-interior01.jpg,,2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",166,오브제컬렉션 크림 화이트 / 크림 화이트,메탈,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=zh6tQZHE0xnC65VkEMAERw
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10419848/gallery/medium-interior01.jpg,,2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",166,오브제컬렉션 클레이핑크 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=zh6tQZHE0xnC65VkEMAERw
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10390885/gallery/medium-interior01.jpg,"5,495,000원",2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",166,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,듀얼 오토 아이스메이커,
"LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스,본체)",https://www.lge.co.kr/kr/images/refrigerators/md10604867/gallery/medium01.jpg,,1등급,43.1,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",160,패널 선택 필요,,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=wMFijiG46FLdqMbvv6Rgrg
"LG 디오스 AI 오브제컬렉션 냉장고 (더블매직스페이스, 본체)",https://www.lge.co.kr/kr/images/refrigerators/md10604869/gallery/medium01.jpg,,1등급,43.0,프리스탠딩,4도어,871,504,367,"914 x 1,860 x 918",158,패널 선택 필요,,멀티냉각방식,O 있음,이지 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=dQbWntI8yekzEcptSzr1w
"LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (노크온 더블매직스페이스, 본체)",https://www.lge.co.kr/kr/images/refrigerators/md10604856/gallery/medium01.jpg,,2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",163,패널 선택 필요,,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=yLNSDptcX3Xf8dXDs9Ul1Q
LG 디오스 AI 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10615853/gallery/medium-interior01.jpg,"4,620,000원",1등급,43.0,프리스탠딩,4도어,871,504,367,"914 x 1,860 x 918",165,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,이지 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=dQbWntI8yekzEcptSzr1w
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604868/gallery/medium-interior01.jpg,"4,550,000원",1등급,43.1,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",173,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=wMFijiG46FLdqMbvv6Rgrg
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604868/gallery/medium-interior01.jpg,,1등급,43.1,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",173,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=wMFijiG46FLdqMbvv6Rgrg
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604864/gallery/medium-interior01.jpg,"5,217,000원",1등급,43.1,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",180,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=yLNSDptcX3Xf8dXDs9Ul1Q
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604864/gallery/medium-interior01.jpg,,1등급,43.1,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",180,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=yLNSDptcX3Xf8dXDs9Ul1Q
