제품명,이미지 링크,가격(원),에너지 소비효율등급,소비전력(W),설치타입,도어 개수,전체 용량(L),냉장 용량(L),냉동 용량(L),제품 크기(mm),무게(kg),색상,도어 재질,냉각방식,스마트 진단,아이스메이커,제품 사용 설명서
LG 디오스 AI 오브제컬렉션 냉장고 (더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604870/gallery/medium-interior01.jpg,"4,884,000원",1등급,43.0,프리스탠딩,4도어,871,504,367,"914 x 1,860 x 918",171,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,이지 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=dQbWntI8yekzEcptSzr1w
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604862/gallery/medium-interior01.jpg,"5,160,000원",2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",168,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=yLNSDptcX3Xf8dXDs9Ul1Q
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604862/gallery/medium-interior01.jpg,,2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",168,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=yLNSDptcX3Xf8dXDs9Ul1Q
LG 디오스 AI 오브제컬렉션 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10615849/gallery/medium-interior01.jpg,"5,051,000원",1등급,43.8,프리스탠딩,4도어,871,504,367,"914 x 1,860 x 918",175,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,이지 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=dQbWntI8yekzEcptSzr1w
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604859/gallery/medium-interior01.jpg,"5,220,000원",2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",170,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=FEf6a8LeGia7KCuV3XUokw
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604859/gallery/medium-interior01.jpg,,2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",170,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (노크온 더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604857/gallery/medium-interior01.jpg,"5,606,000원",2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",173,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (노크온 더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604857/gallery/medium-interior01.jpg,,2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",173,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=yLNSDptcX3Xf8dXDs9Ul1Q
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10617827/gallery/medium-interior01.jpg,"4,550,000원",1등급,43.1,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",173,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=wMFijiG46FLdqMbvv6Rgrg
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10634835/gallery/medium-interior01.jpg,,1등급,43.1,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",173,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=wMFijiG46FLdqMbvv6Rgrg
LG 디오스 AI 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10617831/gallery/medium-interior01.jpg,"4,400,000원",2등급,55.8,프리스탠딩,4도어,871,504,367,"914 x 1,860 x 918",155,오브제컬렉션 토프 / 토프,글라스,멀티냉각방식,O 있음,이지 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=dQbWntI8yekzEcptSzr1w
LG 디오스 AI 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604876/gallery/medium-interior01.jpg,"3,960,000원",2등급,55.8,프리스탠딩,4도어,871,504,367,"914 x 1,860 x 918",151,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,이지 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=dQbWntI8yekzEcptSzr1w
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10617830/gallery/medium-interior01.jpg,"4,150,000원",1등급,43.1,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",169,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (노크온 더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10623831/gallery/medium-interior01.jpg,"5,273,000원",2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",170,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=yLNSDptcX3Xf8dXDs9Ul1Q
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (노크온 더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10623831/gallery/medium-interior01.jpg,,2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",170,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=yLNSDptcX3Xf8dXDs9Ul1Q
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (노크온 더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10623826/gallery/medium-interior01.jpg,"5,880,000원",2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",170,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,듀얼 오토 아이스메이커,
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (노크온 더블매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10623826/gallery/medium-interior01.jpg,,2등급,56.2,프리스탠딩,4도어,854,494,360,"914 x 1,860 x 918",170,오브제컬렉션 실버 / 실버,메탈,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=yLNSDptcX3Xf8dXDs9Ul1Q
[25년형·1대 단독 전용] 오브제컬렉션 Fit & Max 냉장고 설치키트,https://www.lge.co.kr/kr/images/refrigerators/md10540851/gallery/medium01.jpg,"111,000원",,,페어설치키트,,,,,,0.386,,,,,,
[25년형·2대 페어용] 오브제컬렉션 Fit & Max 냉장고 설치키트,https://www.lge.co.kr/kr/images/refrigerators/md10540852/gallery/medium01.jpg,"111,000원",,,페어설치키트,,,,,,3.14,,,,,,
[컨버터블 2대 페어용] 오브제컬렉션 Fit & Max 냉장고 설치키트,https://www.lge.co.kr/kr/images/refrigerators/md10540853/gallery/medium01.jpg,"111,000원",,,페어설치키트,,,,,,2.6,,,,,,
[컨버터블 3대 페어용] 오브제컬렉션 Fit & Max 냉장고 설치키트,https://www.lge.co.kr/kr/images/refrigerators/md10756829/gallery/medium01.jpg,"200,000원",,,,,,,,,,,,,,,
LG 모던엣지 AI 오브제컬렉션 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10733832/gallery/medium-interior01.jpg,,3등급,26.3,Fit & Max,2도어,333,220,113,"597 x 1,860 x 674",72,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,X 제공안함,https://gscs-b2c.lge.com/open/downloadFile?fileId=ddXa6vLY0ryt658qnfwtQ
LG 모던엣지 AI 오브제컬렉션 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10727826/gallery/medium-interior01.jpg,"1,350,000원",3등급,26.3,Fit & Max,2도어,333,220,113,"597 x 1,860 x 674",72,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=sddysVSPxucALBU6Mlf7YQ
LG 모던엣지 냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md09165827/gallery/medium-interior01.jpg,"1,550,000원",3등급,25.5,빌트인 타입,2도어,344,234,110,"595 x 1,860 x 676",84,오브제컬렉션 베이지,글라스,멀티냉각방식,O 있음,X 제공안함,https://gscs-b2c.lge.com/open/downloadFile?fileId=BsuHDIiPHAt5tI4w0gQsnQ
LG 모던엣지 냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md09165827/gallery/medium-interior01.jpg,"1,550,000원",3등급,25.5,,,344,234,110,"595 x 1,860 x 676",84,오브제컬렉션 베이지,미스트 (글라스),멀티냉각방식,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=BsuHDIiPHAt5tI4w0gQsnQ
LG 모던엣지 냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md09164830/gallery/medium-interior01.jpg,"1,499,000원",3등급,25.5,빌트인 타입,2도어,344,234,110,"595 x 1,860 x 676",84,오브제컬렉션 베이지,미스트 (글라스),멀티냉각방식,O 있음,X 제공안함,
LG 모던엣지 냉장고 오브제컬렉션 노크온,https://www.lge.co.kr/kr/images/refrigerators/md10207841/gallery/medium-interior01.jpg,"2,000,000원",3등급,27.1,빌트인 타입,2도어,349,239,110,"595 x 1,860 x 676",100,오브제컬렉션 클레이 브라운,글라스,멀티냉각방식,O 있음,아이스 트레이 & 버킷,
LG 모던엣지 냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md10118826/gallery/medium-interior01.jpg,"1,208,000원",3등급,25.5,빌트인 타입,2도어,344,234,,"595 x 1,860 x 676",75,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,"아이스 트레이, X",
LG 모던엣지 냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md10117827/gallery/medium-interior01.jpg,"1,190,000원",3등급,25.5,빌트인 타입,2도어,344,234,,"595 x 1,860 x 676",75,프라임 실버,메탈,멀티냉각방식,X 제공안함,X 제공안함,https://gscs-b2c.lge.com/open/downloadFile?fileId=BsuHDIiPHAt5tI4w0gQsnQ
LG 모던엣지 AI 오브제컬렉션 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10715828/gallery/medium-interior01.jpg,"1,868,000원",1등급,19.4,Fit & Max,2도어,412,273,139,"697 x 1,860 x 696",96,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=sddysVSPxucALBU6Mlf7YQ
LG 모던엣지 AI 오브제컬렉션 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10775831/gallery/medium-interior01.jpg,,3등급,27.9,Fit & Max,2도어,412,273,139,"697 x 1,860 x 696",78,오브제컬렉션 에센스화이트,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=sddysVSPxucALBU6Mlf7YQ
LG 모던엣지 AI 오브제컬렉션 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10715830/gallery/medium-interior01.jpg,"1,450,000원",3등급,27.9,Fit & Max,2도어,412,273,139,"697 x 1,860 x 696",79,오브제컬렉션 에센스화이트,메탈,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=sddysVSPxucALBU6Mlf7YQ
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642834/gallery/medium01.jpg,"7,992,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",146,오브제컬렉션 아몬드 / 토프,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642832/gallery/medium01.jpg,"8,381,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",151,오브제컬렉션 아몬드 / 토프,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡,https://www.lge.co.kr/kr/images/refrigerators/md10574844/gallery/medium01.jpg,"7,810,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",146,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10571828/gallery/medium01.jpg,"7,992,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",146,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10571827/gallery/medium01.jpg,"8,381,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",151,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642833/gallery/medium01.jpg,"7,992,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",146,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642831/gallery/medium01.jpg,"8,381,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",151,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10574842/gallery/medium01.jpg,"8,714,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",143,오브제컬렉션 실버 / 실버,스테인리스,멀티냉각방식,O 있음,트위스트 아이스 메이커,
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10574841/gallery/medium01.jpg,"8,991,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",148,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642841/gallery/medium01.jpg,"7,659,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",143,오브제컬렉션 아몬드 / 토프,글라스,멀티냉각방식,O 있음,아이스 트레이,
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642838/gallery/medium01.jpg,"7,659,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",144,오브제컬렉션 아몬드 / 토프,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,
LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642836/gallery/medium01.jpg,"8,048,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",151,오브제컬렉션 아몬드 / 토프,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642839/gallery/medium01.jpg,"7,659,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",143,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡(본체),https://www.lge.co.kr/kr/images/refrigerators/md10574845/gallery/medium01.jpg,"7,480,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",144,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10600855/gallery/medium01.jpg,"7,659,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",144,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10600854/gallery/medium01.jpg,"8,048,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",151,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642840/gallery/medium01.jpg,"7,659,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",143,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,O 있음,아이스 트레이,
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642837/gallery/medium01.jpg,"7,659,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",144,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642835/gallery/medium01.jpg,"8,048,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",151,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10587832/gallery/medium01.jpg,"5,900,000원",2등급,32.9,Fit & Max,4도어,504,300,204,"835 x 1,860 x 685",136,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10574848/gallery/medium01.jpg,"5,300,000원",2등급,32.9,Fit & Max,4도어,504,300,204,"835 x 1,860 x 685",133,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642843/gallery/medium01.jpg,"7,382,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",146,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",https://gscs-b2c.lge.com/open/downloadFile?fileId=kd8hv78XA2gbcGZLcpnA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642842/gallery/medium01.jpg,"7,770,000원",2등급,38.0,Fit & Max,4도어,601,378,223,"914 x 1,860 x 698",147,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 트위스트 아이스 메이커",
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642846/gallery/medium01.jpg,"7,049,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",143,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642845/gallery/medium01.jpg,"7,049,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",144,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
