제품명,이미지 링크,가격(원),에너지 소비효율등급,소비전력(W),설치타입,도어 개수,전체 용량(L),냉장 용량(L),냉동 용량(L),제품 크기(mm),무게(kg),색상,도어 재질,냉각방식,스마트 진단,아이스메이커,제품 사용 설명서
LG 디오스 오브제컬렉션 냉장고 Fit & Max (노크온) + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642844/gallery/medium01.jpg,"7,437,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",151,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10642847/gallery/medium01.jpg,"7,049,000원",2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",143,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10574846/gallery/medium01.jpg,"6,300,000원",2등급,32.9,Fit & Max,4도어,504,300,204,"835 x 1,860 x 685",136,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
LG 디오스 오브제컬렉션 냉장고 Fit & Max + LG 디오스 오브제컬렉션 김치톡톡 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10574847/gallery/medium01.jpg,"6,200,000원",2등급,32.9,Fit & Max,4도어,504,300,204,"835 x 1,860 x 685",136,오브제컬렉션 토프 / 아몬드,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559867/gallery/medium-interior01.jpg,"2,720,000원",3등급,52.5,프리스탠딩,2도어,652,413,239,"913 x 1,790 x 735",117,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,무빙 도어 아이스메이커,
"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559868/gallery/medium-interior01.jpg,"2,150,000원",3등급,52.5,프리스탠딩,2도어,652,413,239,"913 x 1,790 x 735",113,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,
LG 디오스 AI 오브제컬렉션 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10559870/gallery/medium-interior01.jpg,"1,600,000원",3등급,52.5,프리스탠딩,2도어,661,421,240,"913 x 1,790 x 735",101,프라임 실버,메탈,멀티냉각방식,O 있음,X 제공안함,https://gscs-b2c.lge.com/open/downloadFile?fileId=e00FChgWxxEwQYKHzDntRA
LG 디오스 AI 오브제컬렉션 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10559869/gallery/medium-interior01.jpg,"1,900,000원",3등급,52.5,프리스탠딩,2도어,652,413,239,"913 x 1,790 x 735",108,프라임 실버,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=khFdukaNknYj63k7BczIw
LG 디오스 오브제컬렉션 매직스페이스 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09084835/gallery/medium-interior01.jpg,"2,553,000원",2등급,46.7,,,832,524,308,"913 x 1,790 x 913",137,오브제컬렉션 베이지 / 베이지,미스트 (글라스),,O 있음,O (무빙 도어) 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=fyN8Fmbfo9ACt8EsWzImmg
"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10635830/gallery/medium-interior01.jpg,"2,250,000원",1등급,40.2,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",145,오브제컬렉션 베이지 베이지,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=fyN8Fmbfo9ACt8EsWzImmg
"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10635828/gallery/medium-interior01.jpg,"2,609,000원",1등급,40.2,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",145,오브제컬렉션 베이지 베이지,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=fyN8Fmbfo9ACt8EsWzImmg
LG 디오스 AI 오브제컬렉션 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10635834/gallery/medium-interior01.jpg,"2,050,000원",1등급,40.2,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",139,클레이 민트 / 베이지,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,
"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559848/gallery/medium-interior01.jpg,"2,250,000원",2등급,51.5,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",132,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=ligy9hfMumSaMBuWNZFGrA
"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559847/gallery/medium-interior01.jpg,"2,350,000원",2등급,51.5,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",132,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=ligy9hfMumSaMBuWNZFGrA
"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559846/gallery/medium-interior01.jpg,"2,720,000원",2등급,51.5,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",132,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,무빙 도어 아이스메이커,
"LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10741830/gallery/medium-interior01.jpg,"2,460,000원",2등급,51.8,프리스탠딩,2도어,827,524,303,"913 x 1,790 x 913",134,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=GvHc3SwDCDn55YmZZcWoBg
"LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10741829/gallery/medium-interior01.jpg,"2,831,000원",2등급,51.8,프리스탠딩,2도어,827,524,303,"913 x 1,790 x 913",134,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=GvHc3SwDCDn55YmZZcWoBg
LG 디오스 AI 오브제컬렉션 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10559863/gallery/medium-interior01.jpg,"1,750,000원",2등급,49.0,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",120,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=ligy9hfMumSaMBuWNZFGrA
"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559852/gallery/medium-interior01.jpg,"1,950,000원",2등급,51.5,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",126,오브제컬렉션 베이지 베이지,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=ligy9hfMumSaMBuWNZFGrA
LG 디오스 AI 오브제컬렉션 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10559866/gallery/medium-interior01.jpg,"1,700,000원",2등급,49.0,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",118,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=ligy9hfMumSaMBuWNZFGrA
"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559849/gallery/medium-interior01.jpg,"2,387,000원",2등급,51.5,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",126,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=ligy9hfMumSaMBuWNZFGrA
"LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10741831/gallery/medium-interior01.jpg,"2,060,000원",2등급,51.8,프리스탠딩,2도어,827,524,303,"913 x 1,790 x 913",128,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=GvHc3SwDCDn55YmZZcWoBg
"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559853/gallery/medium-interior01.jpg,"1,900,000원",2등급,51.5,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",124,오브제컬렉션 크림 그레이 / 에센스 화이트,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=ligy9hfMumSaMBuWNZFGrA
LG 디오스 AI 오브제컬렉션 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10559859/gallery/medium-interior01.jpg,"1,850,000원",2등급,49.0,프리스탠딩,2도어,832,524,308,"913 x 1,790 x 913",120,클레이 민트 / 베이지,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=ligy9hfMumSaMBuWNZFGrA
LG 디오스 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md09322826/gallery/medium-interior02.jpg,"2,750,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,787 x 918",146,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=a8sdGu0vrerKMqWmu5nkQ
LG 디오스 AI 오브제컬렉션 베이직 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10645840/gallery/medium-interior01.jpg,"2,650,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,787 x 918",145,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
LG 디오스 오브제컬렉션 베이직 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10414838/gallery/medium-interior01.jpg,"2,500,000원",2등급,56.8,프리스탠딩,4도어,870,503,367,"914 x 1,787 x 918",125,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10645838/gallery/medium-interior01.jpg,"2,950,000원",1등급,43.3,프리스탠딩,4도어,860,498,362,"914 x 1,787 x 918",156,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=gBGkGEXhqsi8X5dtS66UpA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10411842/gallery/medium-interior01.jpg,"2,800,000원",2등급,56.3,프리스탠딩,4도어,860,498,362,"914 x 1,787 x 918",132,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=gBGkGEXhqsi8X5dtS66UpA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10449874/gallery/medium-interior01.jpg,,2등급,56.3,프리스탠딩,4도어,860,498,362,"914 x 1,787 x 918",132,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=gBGkGEXhqsi8X5dtS66UpA
LG 디오스 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10411859/gallery/medium-interior01.jpg,"2,900,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,787 x 918",146,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10411838/gallery/medium-interior01.jpg,"3,150,000원",1등급,43.3,프리스탠딩,4도어,860,498,362,"914 x 1,787 x 918",157,오브제컬렉션 크림 화이트 / 크림 화이트,메탈,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=gBGkGEXhqsi8X5dtS66UpA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10449870/gallery/medium-interior01.jpg,,1등급,43.3,프리스탠딩,4도어,860,498,362,"914 x 1,787 x 918",157,오브제컬렉션 크림 화이트 / 크림 화이트,메탈,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=gBGkGEXhqsi8X5dtS66UpA
LG 디오스 오브제컬렉션 냉장고 (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10414835/gallery/medium-interior01.jpg,"2,750,000원",2등급,56.8,프리스탠딩,4도어,870,503,367,"914 x 1,787 x 918",135,오브제컬렉션 크림 화이트 / 크림 화이트,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
LG 디오스 AI 오브제컬렉션 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10681855/gallery/medium-interior01.jpg,"2,800,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,787 x 918",145,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,아이스 트레이,
LG 디오스 AI 오브제컬렉션 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10681861/gallery/medium-interior01.jpg,"2,600,000원",2등급,56.8,프리스탠딩,4도어,870,503,367,"914 x 1,787 x 918",125,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
LG 디오스 AI 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10681851/gallery/medium-interior01.jpg,"3,000,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,787 x 918",146,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
LG 디오스 AI 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10758826/gallery/medium-interior01.jpg,"3,100,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,787 x 918",146,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,아이스 트레이,
LG 디오스 AI 오브제컬렉션 냉장고 (노크온),https://www.lge.co.kr/kr/images/refrigerators/md10681854/gallery/medium-interior01.jpg,"2,850,000원",2등급,56.8,프리스탠딩,4도어,870,503,367,"914 x 1,787 x 918",135,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
LG 디오스 AI 오브제컬렉션 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10681849/gallery/medium-interior01.jpg,"3,100,000원",2등급,56.3,프리스탠딩,4도어,865,498,367,"914 x 1,787 x 918",143,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
"LG 디오스 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스,본체)",https://www.lge.co.kr/kr/images/refrigerators/md10364832/gallery/medium01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,866 x 918",176,패널 선택 필요,,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,
LG 디오스 오브제컬렉션 STEM 얼음정수 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10419831/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,860 x 918",182,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=qyFbenPpeJ0kzHxiHWoA
LG 디오스 오브제컬렉션 STEM 얼음정수 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10419828/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,860 x 918",180,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=qyFbenPpeJ0kzHxiHWoA
"LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (매직스페이스, 본체)",https://www.lge.co.kr/kr/images/refrigerators/md10604854/gallery/medium01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,860 x 918",172,패널 선택 필요,,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
"LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스, 본체)",https://www.lge.co.kr/kr/images/refrigerators/md10574850/gallery/medium01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,860 x 918",178,패널 선택 필요,,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
"LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스, 본체)",https://www.lge.co.kr/kr/images/refrigerators/md10574849/gallery/medium01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,866 x 918",178,패널 선택 필요,,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10604855/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,860 x 918",185,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10597854/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,860 x 918",188,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10602833/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,866 x 918",188,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10602833/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,866 x 918",188,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10615838/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,860 x 918",185,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10615831/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,866 x 918",185,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10615831/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,866 x 918",185,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10615840/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,860 x 918",182,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10615833/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,860 x 918",185,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10615826/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,866 x 918",185,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10615826/gallery/medium-interior01.jpg,,2등급,54.4,프리스탠딩,4도어,817,457,360,"914 x 1,866 x 918",185,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,듀얼 오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=SuxBkLRxdz1W2A8vSwdIaQ
